protocol_id,nccp_code,title,field,original_label,display_label,component,protocol_path,basis
nccp-00217-vcurrent,00217,Lapatinib and Capecitabine Therapy - 21 days,hand_foot_grade,Palmar-plantar erythrodysaesthesia grade,Palmar-plantar erythrodysaesthesia grade (Capecitabine),Capecitabine,protocols/breast/00217-lapatinib-capecitabine.json,encoded rule action component
nccp-00230-v7,00230,nab-Paclitaxel Monotherapy - 21 day,hypersensitivity,Relevant drug/excipient hypersensitivity,Relevant drug/excipient hypersensitivity (Nab Paclitaxel),Nab Paclitaxel,protocols/breast/00230-nab-paclitaxel-q21d.json,encoded rule action component
nccp-00230-v7,00230,nab-Paclitaxel Monotherapy - 21 day,neuropathy_grade,Motor/sensory neuropathy grade,Motor/sensory neuropathy grade (Nab Paclitaxel),Nab Paclitaxel,protocols/breast/00230-nab-paclitaxel-q21d.json,encoded rule action component
nccp-00250-v8,00250,Docetaxel / Cyclophosphamide (TC) Therapy – 21 day,neuropathy_grade,Peripheral neuropathy grade,Peripheral neuropathy grade (Docetaxel),Docetaxel,protocols/breast/00250-docetaxel-cyclophosphamide.json,encoded rule action component
nccp-00253-vcurrent,00253,Tamoxifen Monotherapy,tamoxifen_hypersensitivity,Tamoxifen/excipient hypersensitivity,Tamoxifen/excipient hypersensitivity,Tamoxifen,protocols/breast/00253-tamoxifen.json,encoded rule action component
nccp-00253-vcurrent,00253,Tamoxifen Monotherapy,other_toxicity_grade,Other treatment-related toxicity grade,Other treatment-related toxicity grade (Tamoxifen),Tamoxifen,protocols/breast/00253-tamoxifen.json,encoded rule action component
nccp-00272-v4,00272,Trastuzumab Subcutaneous 21 days – Metastatic Breast Cancer,hypersensitivity_grade,Infusion/hypersensitivity reaction grade,Infusion/hypersensitivity reaction grade (Trastuzumab),Trastuzumab,protocols/breast/00272-trastuzumab-sc-q21d-metastatic.json,encoded rule action component
nccp-00272-v4,00272,Trastuzumab Subcutaneous 21 days – Metastatic Breast Cancer,relevant_drug_hypersensitivity,Relevant drug hypersensitivity before treatment,Relevant drug hypersensitivity before treatment (Trastuzumab),Trastuzumab,protocols/breast/00272-trastuzumab-sc-q21d-metastatic.json,encoded rule action component
nccp-00285-v4,00285,Trastuzumab Subcutaneous 21 days – Early Breast Cancer,hypersensitivity_grade,Infusion/hypersensitivity reaction grade,Infusion/hypersensitivity reaction grade (Trastuzumab),Trastuzumab,protocols/breast/00285-trastuzumab-sc-q21d-ebc.json,encoded rule action component
nccp-00285-v4,00285,Trastuzumab Subcutaneous 21 days – Early Breast Cancer,relevant_drug_hypersensitivity,Relevant drug hypersensitivity before treatment,Relevant drug hypersensitivity before treatment (Trastuzumab),Trastuzumab,protocols/breast/00285-trastuzumab-sc-q21d-ebc.json,encoded rule action component
nccp-00414-vcurrent,00414,Palbociclib Therapy - 28 day,fever_or_infection,Fever ≥38.5°C and/or infection with grade 3 neutropenia,Fever ≥38.5°C and/or infection with grade 3 neutropenia (Palbociclib),Palbociclib,protocols/breast/00414-palbociclib.json,encoded rule action component
nccp-00414-vcurrent,00414,Palbociclib Therapy - 28 day,prolonged_or_recurrent_grade3,Prolonged (>1 week) or recurrent grade 3 neutropenia on Day 1,Prolonged (>1 week) or recurrent grade 3 neutropenia on Day 1 (Palbociclib),Palbociclib,protocols/breast/00414-palbociclib.json,encoded rule action component
nccp-00430-v6,00430,Gemcitabine and Carboplatin AUC2 - 21 day,pneumonitis_grade,Pneumonitis grade,Pneumonitis grade (Gemcitabine),Gemcitabine,protocols/breast/00430-gemcitabine-carboplatin.json,encoded rule action component
nccp-00430-v6,00430,Gemcitabine and Carboplatin AUC2 - 21 day,scar_status,Severe cutaneous adverse reaction,Severe cutaneous adverse reaction (Gemcitabine),Gemcitabine,protocols/breast/00430-gemcitabine-carboplatin.json,encoded rule action component
nccp-00512-v5,00512,Paclitaxel 80 mg/m² and Trastuzumab Therapy – 7 day (12 weeks),neuropathy_grade,Peripheral neuropathy grade,Peripheral neuropathy grade (Paclitaxel),Paclitaxel,protocols/breast/00512-paclitaxel-trastuzumab-weekly.json,encoded rule action component
nccp-00512-v5,00512,Paclitaxel 80 mg/m² and Trastuzumab Therapy – 7 day (12 weeks),trastuzumab_infusion_reaction_grade,Trastuzumab infusion reaction grade,Trastuzumab infusion reaction grade,Trastuzumab,protocols/breast/00512-paclitaxel-trastuzumab-weekly.json,encoded rule action component
nccp-00525-vcurrent,00525,Ribociclib Therapy (Metastatic) - 28 day,nonhaem_toxicity_grade,Other non-haematological toxicity (CTCAE),Other non-haematological toxicity (CTCAE) (Ribociclib),Ribociclib,protocols/breast/00525-ribociclib-metastatic.json,encoded rule action component
nccp-00526-v5,00526,"Pertuzumab, Trastuzumab and Vinorelbine - 21 day",hypersensitivity,Relevant drug/excipient hypersensitivity,Relevant drug/excipient hypersensitivity (Vinorelbine),Vinorelbine,protocols/breast/00526-pertuzumab-trastuzumab-vinorelbine.json,encoded rule action component
nccp-00526-v5,00526,"Pertuzumab, Trastuzumab and Vinorelbine - 21 day",neuropathy_grade,Peripheral neuropathy grade,Peripheral neuropathy grade (Vinorelbine),Vinorelbine,protocols/breast/00526-pertuzumab-trastuzumab-vinorelbine.json,encoded rule action component
nccp-00526-v5,00526,"Pertuzumab, Trastuzumab and Vinorelbine - 21 day",constipation_grade,Constipation grade,Constipation grade (Vinorelbine),Vinorelbine,protocols/breast/00526-pertuzumab-trastuzumab-vinorelbine.json,encoded rule action component
