"code","protocol_id","path","title","in_scope","encoding_maturity","resolution","source_url","organ_inputs","organ_rules","issues"
"","","protocols/_shared/ecog-context-placeholder.json","","false","not_formally_audited","","","","",""
"","","protocols/_shared/single-agent-ici-profile.json","","false","not_formally_audited","","","","",""
"","","protocols/package.json","","false","not_formally_audited","","","","",""
"","","protocols/protocol-schema.json","","false","not_formally_audited","","","","",""
"00100","nccp-00100-v6","protocols/sarcoma/00100-mifamurtide-therapy.json","Mifamurtide Therapy","false","not_formally_audited","","https://healthservice.hse.ie/documents/6722/100_Mifamurtide.pdf","breastfeeding|metastatic_at_presentation|mifamurtide_renal_band|child_pugh","PREGNANCY_BREASTFEEDING|METASTATIC_PRESENTATION|RENAL_LT30|RENAL_HD|HEP_B|HEP_C",""
"00101","nccp-00101-v8","protocols/genitourinary/00101-cabazitaxel-prednisolone.json","Cabazitaxel and Prednisolone Therapy","false","not_formally_audited","","https://healthservice.hse.ie/documents/6536/108_cabazitaxel_and_prednisoLONE.pdf","hepatic_band|renal_band","HEP_MILD|HEP_MOD|HEP_SEVERE|RENAL",""
"00102","nccp-00102-v6","protocols/skin/00102-vemurafenib-monotherapy.json","Vemurafenib Monotherapy","false","not_formally_audited","","https://healthservice.hse.ie/documents/6723/102_v6_Vemurafenib_Monotherapy.pdf","breastfeeding|alt_ast_uln_multiple|bilirubin_uln_multiple","BREASTFEEDING",""
"00103","nccp-00103-v9","protocols/genitourinary/00103-abiraterone-prednisolone-mcrpc.json","Abiraterone and prednisolone Therapy (mCRPC)","false","not_formally_audited","","https://healthservice.hse.ie/documents/6537/103_v9_Abiraterone_and_prednisoLONE_Therapy.pdf","bilirubin_uln_multiple|alt_ast_uln_multiple|alp_u_l|creatinine_below_1_5_uln|child_pugh|active_hepatitis_or_chronic_liver_disease|adrenal_dysfunction|visceral_metastases","BILIRUBIN_ELIGIBILITY|TRANSAMINASE_ELIGIBILITY|ALP_ELIGIBILITY|CREATININE_ELIGIBILITY|CHILD_PUGH_B|CHILD_PUGH_C|HEPATITIS_EXCLUSION|ADRENAL_EXCLUSION|VISCERAL_METS",""
"00104","nccp-00104-v6","protocols/genitourinary/00104-axitinib-monotherapy.json","Axitinib Monotherapy","false","not_formally_audited","","https://healthservice.hse.ie/documents/6538/104_Axitinib_Monotherapy.pdf","alt_ast_uln_multiple|bilirubin_uln_multiple|diastolic_bp","TKI_BP_DIA",""
"00105","nccp-00105-v7","protocols/skin/00105-ipilimumab-monotherapy.json","Ipilimumab Monotherapy","false","not_formally_audited","","https://healthservice.hse.ie/documents/6724/105_V7_Ipilimumab_.pdf","breastfeeding|alt_ast_uln_multiple|bilirubin_uln_multiple|creatinine_ratio_baseline_or_uln","BREASTFEEDING|ICI_RENAL",""
"00200","nccp-00200-vcurrent","protocols/breast/00200-trastuzumab-iv-q21d.json","Trastuzumab Intravenous Monotherapy – 21 days","false","not_formally_audited","","https://healthservice.hse.ie/documents/6330/200_Trastuzumab_21days_Ubeecpc.pdf","breastfeeding","EXCLUSION_PREGNANCY_BREASTFEEDING",""
"00201","nccp-00201-v6","protocols/breast/00201-trastuzumab-iv-weekly.json","Trastuzumab Intravenous Monotherapy – 7 days","false","not_formally_audited","","https://healthservice.hse.ie/documents/6540/201_v6_Trastuzumab_IV_7_days.pdf","breastfeeding","EXCLUSION_PREGNANCY_BREASTFEEDING",""
"00202","nccp-00202-v7","protocols/breast/00202-docetaxel-100-21-day.json","Docetaxel Monotherapy 100 mg/m² – 21 day","false","not_formally_audited","","https://healthservice.hse.ie/documents/6541/202_v7_Docetaxel_100_21_day.pdf","","",""
"00203","nccp-00203-v7","protocols/breast/00203-docetaxel-75-21-day.json","Docetaxel Monotherapy 75 mg/m² – 21 day cycle","false","not_formally_audited","","https://healthservice.hse.ie/documents/6543/203_DOCEtaxel_75-21day.pdf","hepatic_band","HEPATIC_75|HEPATIC_50|HEPATIC_STOP",""
"00204","nccp-00204-v11","protocols/breast/00204-pertuzumab-trastuzumab-docetaxel.json","Pertuzumab, Trastuzumab and Docetaxel Therapy – 21 day cycle","false","not_formally_audited","","https://healthservice.hse.ie/documents/6545/204_v11_PertuzumabTrasDoc.pdf","breastfeeding|significant_hepatic_dysfunction|ast_alt_uln|bilirubin_uln","EXCLUSION_PREG_LACT|HEPATIC_EXCLUSION|HEPATIC_NOT_RECOMMENDED",""
"00205","nccp-00205-v8","protocols/breast/00205-pegylated-liposomal-doxorubicin.json","Pegylated Liposomal Doxorubicin 50 mg/m² – 28 day","true","source_reconciled_rule_encoding","structured_rules","https://healthservice.hse.ie/documents/6546/205_V8_Peg_Lipo_DOXO_28_day.pdf","breastfeeding|bilirubin_uln_multiple|pld_bilirubin_band","PREGNANCY_BREASTFEEDING|PLD_BILI_GT4_3|PLD_BILI_GT2_5|PLD_BILI_GT1|OF590_00205_PLD_BILI_20_50|OF590_00205_PLD_BILI_51_86|OF590_00205_PLD_BILI_GT86",""
"00206","nccp-00206-vcurrent","protocols/breast/00206-t-dm1-metastatic.json","Trastuzumab Emtansine (T-DM1) Therapy – 21 days","false","not_formally_audited","","https://healthservice.hse.ie/documents/6547/206_Trastuzumab_Emtansine_21days.pdf","hypersensitivity|breastfeeding|ast_alt_grade|bilirubin_grade","PREG_LACT|FURTHER_REDUCTION",""
"00207","nccp-00207-v5","protocols/gastrointestinal/00207-cetuximab-therapy-7-days.json","Cetuximab Therapy – 7 days","true","source_reconciled_rule_encoding","source_reviewed_no_prescriptive_adjustment","https://healthservice.hse.ie/documents/6548/207_v5_Cetuximab_7day.pdf","breastfeeding","PREGNANCY_OR_BREASTFEEDING",""
"00209","nccp-00209-v10a","protocols/gastrointestinal/00209-modified-folfox6.json","FOLFOX-6 Modified Therapy – 14 day","false","not_formally_audited","","https://healthservice.hse.ie/documents/6549/209_v10a_FOLFOX_6_Modified.pdf","breastfeeding|crcl_ml_min|haemodialysis|hepatic_impairment_category","EXCLUSION_PREGNANCY_OR_BREASTFEEDING|RENAL_HAEMODIALYSIS|RENAL_CRCL_BELOW30|HEPATIC_SEVERE|HEPATIC_MILD_MODERATE_WITH_RENAL",""
