code,title,tumour_group,protocol_id,path,nccp_version,published_date,review_date,last_reviewed_date,source_url,source_version_verified,partial_assessment_supported,required_inputs_count,statically_required_field_count,rule_count,input_count,consultant_reviewed,oncology_pharmacy_reviewed,clinical_use_authorised
00285,Trastuzumab Subcutaneous 21 days – Early Breast Cancer,Breast,nccp-00285-v4,protocols/breast/00285-trastuzumab-sc-q21d-ebc.json,4,2022-12-20,2029-04-12,,https://healthservice.hse.ie/documents/6700/285_v4_Trastuzumab_SC_21days_EBC.pdf,false,true,0,0,7,12,false,false,false
00316,Dose-dense AC followed by Paclitaxel every 14 days and Trastuzumab,Breast,nccp-00316-v6,protocols/breast/00316-ddac-paclitaxel-14-day-trastuzumab.json,6,,,,https://healthservice.hse.ie/documents/6717/316_v6_Dose_Dense_AC-TH.pdf,false,true,0,0,4,6,false,false,false
00322,Everolimus and Exemestane Therapy,Breast,nccp-00322-v4,protocols/breast/00322-everolimus-exemestane.json,4,,,,https://healthservice.hse.ie/documents/6720/322_v4_Everolimus_and_Exemestane.pdf,false,true,0,0,2,8,false,false,false
00348,Carboplatin AUC 6 and weekly Paclitaxel followed by dose-dense AC,Breast,nccp-00348-v8a,protocols/breast/00348-carbo-auc6-paclitaxel-ddac.json,8a,2016-12-01,2030-06-13,,https://healthservice.hse.ie/documents/6812/348_Carboplatin_AUC_6_and_weekly_Paclitaxel_80mgm2.pdf,false,true,0,0,30,27,false,false,false
00350,Pertuzumab and Trastuzumab with Chemotherapy,Breast,nccp-00350-v3,protocols/breast/00350-pertuzumab-trastuzumab-chemotherapy.json,3,2019-07-24,2026-07-21,,https://healthservice.hse.ie/documents/6813/350_v3_Pertuzumab_Trastuz_Chemo.pdf,false,true,0,0,32,24,false,false,false
00361,Fulvestrant Monotherapy,Breast,nccp-00361-vcurrent,protocols/breast/00361-fulvestrant-monotherapy.json,4,2016-11-11,2031-01-20,,https://healthservice.hse.ie/documents/6816/361_Fulvestrant_Therapy.pdf,true,true,0,0,2,8,false,false,false
00371,Letrozole Monotherapy,Breast,nccp-00371-vcurrent,protocols/breast/00371-letrozole-monotherapy.json,4,2016-11-11,2031-02-23,,https://healthservice.hse.ie/documents/6817/371_Letrozole_.pdf,true,true,0,0,2,8,false,false,false
00376,Exemestane Monotherapy,Breast,nccp-00376-vcurrent,protocols/breast/00376-exemestane-monotherapy.json,4,2016-11-11,2031-01-20,,https://healthservice.hse.ie/documents/6568/376_Exemestane_therapy.pdf,true,true,0,0,2,8,false,false,false
00377,"Cyclophosphamide (oral), Methotrexate and 5-Fluorouracil (CMF)",Breast,nccp-00377-v6,protocols/breast/00377-cmf-oral.json,6,,,,https://healthservice.hse.ie/documents/6337/377_v6_CMF_oral.pdf,false,true,0,0,2,5,false,false,false
00378,"Cyclophosphamide (IV), Methotrexate and 5-Fluorouracil (CMF) – 28 day",Breast,nccp-00378-v6,protocols/breast/00378-cmf-iv-28-day.json,6,,,,https://healthservice.hse.ie/documents/6344/378_v6_cycloPHOSphamideIV_Methotrexate_5-FU_CMF.pdf,false,true,0,0,2,5,false,false,false
00381,"Cyclophosphamide (IV), Methotrexate and 5-Fluorouracil (CMF) – 21 day",Breast,nccp-00381-v6,protocols/breast/00381-cmf-iv-21-day.json,6,,,,https://healthservice.hse.ie/documents/6346/381_v6_CMF_IV_21_Day.pdf,false,true,0,0,2,5,false,false,false
00414,Palbociclib Therapy - 28 day,Breast,nccp-00414-vcurrent,protocols/breast/00414-palbociclib.json,5,,,,https://healthservice.hse.ie/documents/6457/414_v5_Palbociclib_o9nHDn7.pdf,false,true,0,0,11,10,false,false,false
00423,Doxorubicin 50 mg/m² and Docetaxel 75 mg/m² (AT 50/75),Breast,nccp-00423-vcurrent,protocols/breast/00423-at-doxorubicin-docetaxel.json,5,2017-07-07,2021-06-23,2021-06-23,https://healthservice.hse.ie/documents/6823/423_DOXO_DOCEtaxel_AT_50_75-21day.pdf,true,true,0,0,2,5,false,false,false
00430,Gemcitabine and Carboplatin AUC2 - 21 day,Breast,nccp-00430-v6,protocols/breast/00430-gemcitabine-carboplatin.json,6,2016-04-08,2021-03-23,,https://healthservice.hse.ie/documents/6832/430_GemcarboAUC2.pdf,false,true,0,0,15,16,false,false,false
00432,AC followed by weekly Paclitaxel and weekly Trastuzumab (AC-TH),Breast,nccp-00432-v5,protocols/breast/00432-ac-weekly-paclitaxel-trastuzumab.json,5,,,,https://healthservice.hse.ie/documents/6470/432_v5_AC-TH_weekly.pdf,false,true,0,0,5,6,false,false,false
00433,Dose-dense AC followed by weekly Paclitaxel and weekly Trastuzumab,Breast,nccp-00433-v6,protocols/breast/00433-ddac-weekly-paclitaxel-trastuzumab.json,6,,,,https://healthservice.hse.ie/documents/6471/433_v6_Dose_Dense_AC-TH_Weekly.pdf,false,true,0,0,4,6,false,false,false
00485,Dose-dense AC followed by weekly Paclitaxel,Breast,nccp-00485-v6,protocols/breast/00485-dose-dense-ac-weekly-paclitaxel.json,6,,,,https://healthservice.hse.ie/documents/6500/485_v6_Dose_DenseAC-T.pdf,false,true,0,0,4,6,false,false,false
00507,"Pertuzumab, Trastuzumab and Weekly Paclitaxel - 21 day",Breast,nccp-00507-v6,protocols/breast/00507-pertuzumab-trastuzumab-paclitaxel.json,6,2015-04-29,2030-04-14,,https://healthservice.hse.ie/documents/6611/507_v6_Pertuzumab_Tras_PACLitaxel_2jBzcSC.pdf,false,true,0,0,42,33,false,false,false
00512,Paclitaxel 80 mg/m² and Trastuzumab Therapy – 7 day (12 weeks),Breast,nccp-00512-v5,protocols/breast/00512-paclitaxel-trastuzumab-weekly.json,5,2018-01-01,2028-01-01,,https://healthservice.hse.ie/documents/6515/512_v5_PACLitaxel_Trastuzumab_Weekly.pdf,false,true,0,0,11,17,false,false,false
00525,Ribociclib Therapy (Metastatic) - 28 day,Breast,nccp-00525-vcurrent,protocols/breast/00525-ribociclib-metastatic.json,6,,2029-11-29,,https://healthservice.hse.ie/documents/6629/525_v6_Ribociclib_Metastatic_hghzyyD.pdf,false,true,0,0,12,12,false,false,false
00526,"Pertuzumab, Trastuzumab and Vinorelbine - 21 day",Breast,nccp-00526-v5,protocols/breast/00526-pertuzumab-trastuzumab-vinorelbine.json,5,,,,https://healthservice.hse.ie/documents/6630/526_v5_Pertuzumab_Vinorelbine_trastuzumab_zOGbzKp.pdf,false,true,0,0,29,29,false,false,false
00545,Zoledronic Acid Monotherapy,Breast,nccp-00545-v3,protocols/breast/00545-zoledronic-acid-adjuvant.json,3,,,,https://healthservice.hse.ie/documents/6381/545_Zoledronic_acid.pdf,false,true,0,0,8,12,false,false,false
00605,Talazoparib Therapy,Breast,nccp-00605-v2,protocols/breast/00605-talazoparib.json,2,2021-05-01,2028-09-06,,https://healthservice.hse.ie/documents/6414/605_v2_Talazoparib_Therapy.pdf,false,true,0,0,13,12,false,false,false
00619,Abemaciclib with endocrine therapy – adjuvant,Breast,nccp-00619-vcurrent,protocols/breast/00619-abemaciclib-adjuvant.json,4a,2024-05-31,2030-08-11,,https://healthservice.hse.ie/documents/6415/619_Abemaciclib.pdf,true,true,0,0,8,9,false,false,false
00659,Trastuzumab Emtansine (Kadcyla®) Early Breast Cancer Therapy - 21 days,Breast,nccp-00659-v2,protocols/breast/00659-t-dm1-early-breast.json,2,,,,https://healthservice.hse.ie/documents/6680/659_v2_Trastuzumab_Emtansine_EBC_21days.pdf,false,true,0,0,11,13,false,false,false
00688,Atezolizumab and nab-Paclitaxel,Breast,nccp-00688-v2a,protocols/breast/00688-atezolizumab-nab-paclitaxel.json,2a,2020-04-09,2026-09-09,,https://healthservice.hse.ie/documents/6530/688_v2a_Atezolizumab_nab-PACLitaxel.pdf,false,true,0,0,41,42,false,false,false
00720,Neratinib Therapy,Breast,nccp-00720-v2,protocols/breast/00720-neratinib-extended-adjuvant.json,2,,,,https://healthservice.hse.ie/documents/6596/720_v2_Neratinib.pdf,false,true,0,0,20,22,false,false,false
00722,"Docetaxel, Carboplatin, Trastuzumab and Pertuzumab (TCHP) Therapy",Breast,nccp-00722-v2,protocols/breast/00722-tchp-docetaxel-carboplatin-trastuzumab-pertuzumab.json,2,2022-04-22,2028-08-10,,https://healthservice.hse.ie/documents/6598/722_v2_TCHP.pdf,false,true,0,0,32,24,false,false,false
00726,Pertuzumab and Trastuzumab Therapy,Breast,nccp-00726-v3a,protocols/breast/00726-pertuzumab-trastuzumab-maintenance.json,3a,2022-04-13,2029-05-02,,https://healthservice.hse.ie/documents/6599/726_v3a_Pertuzumab_trastuzumab.pdf,false,true,0,0,11,15,false,false,false
00731,"Docetaxel, Carboplatin, Trastuzumab SC and Pertuzumab",Breast,nccp-00731-v2,protocols/breast/00731-tch-subcutaneous-p.json,2,2022-04-22,2028-08-10,,https://healthservice.hse.ie/documents/6601/731_v2_TCHSCP.pdf,false,true,0,0,32,24,false,false,false
00734,Weekly Carboplatin AUC 2 and Paclitaxel followed by dose-dense AC,Breast,nccp-00734-v3,protocols/breast/00734-weekly-carbo-paclitaxel-ddac.json,3,2023-09-26,2029-12-09,,https://healthservice.hse.ie/documents/6605/734_CARBOplatin_AUC2weekly__Paclitaxel_TNBC_v3.pdf,false,true,0,0,30,27,false,false,false
00736,nab-Paclitaxel Weekly Monotherapy - 28 day,Breast,nccp-00736-v2,protocols/breast/00736-nab-paclitaxel-weekly.json,2,,,,https://healthservice.hse.ie/documents/6619/736_v2_nab-PACLitaxel_weekly.pdf,false,true,0,0,11,14,false,false,false
00738,Bevacizumab 10 mg/kg and Paclitaxel 80 mg/m2,Breast,nccp-00738-v3,protocols/breast/00738-bevacizumab-paclitaxel.json,3,,,,https://healthservice.hse.ie/documents/6671/738.pdf,false,true,0,0,24,24,false,false,false
00743,Eribulin Monotherapy – 28 day,Breast,nccp-00743-v3,protocols/breast/00743-eribulin-monotherapy-28-day.json,3,,,,https://healthservice.hse.ie/documents/6623/743_v3_eriBULin_Monotherapy_28_day.pdf,false,true,0,0,2,5,false,false,false
00745,Dose-dense AC followed by weekly Paclitaxel and Trastuzumab every 21 days,Breast,nccp-00745-v2a,protocols/breast/00745-ddac-weekly-paclitaxel-trastuzumab-q21d.json,2a,,,,https://healthservice.hse.ie/documents/6624/745_v2a_DDAC_TH_21_day.pdf,false,true,0,0,4,6,false,false,false
00749,Gemcitabine 800 mg/m² Monotherapy – 28 day,Breast,nccp-00749-v3,protocols/breast/00749-gemcitabine-800-monotherapy.json,3,,,,https://healthservice.hse.ie/documents/6672/749_v3_Gemcitabine_800_Monotherapy.pdf,false,true,0,0,2,5,false,false,false
00775,"Pertuzumab, Trastuzumab, Paclitaxel and Carboplatin (TRAIN-2)",Breast,nccp-00775-v3,protocols/breast/00775-pertuzumab-trastuzumab-paclitaxel-carboplatin-train2.json,3,2022-12-12,2029-06-07,,https://healthservice.hse.ie/documents/6662/775_v3_Pertuzumab_trastuzumab_PACLitaxel_CARBOplatin.pdf,false,true,0,0,32,24,false,false,false
00776,Trastuzumab Deruxtecan 5.4 mg/kg (Enhertu) Therapy,Breast,nccp-00776-v3b,protocols/breast/00776-trastuzumab-deruxtecan.json,3b,,,,https://healthservice.hse.ie/documents/6661/Trastuzumab_776_Deruxtecan_5.4mg_Therapy.pdf,false,true,0,0,22,16,false,false,false
