path,protocol_id,title,counts,renal,hepatic,endocrine,context,toxicity,candidate_fields
"protocols/genitourinary/00313-docetaxel-50-q14d.json","nccp-00313-v5","Docetaxel Monotherapy 50 mg/m² – 14 day cycle",3,0,0,0,0,4,7
"protocols/genitourinary/00326-temsirolimus-therapy.json","nccp-00326-v4","Temsirolimus Therapy",1,0,2,1,1,3,8
"protocols/genitourinary/00333-dose-dense-methotrexate-vinblastine-doxorubicin-and-cisplatin-mvac-14-day.json","nccp-00333-v5a","Dose-dense Methotrexate, Vinblastine, Doxorubicin and Cisplatin (MVAC) – 14 day",4,0,2,0,1,3,10
"protocols/genitourinary/00337-cisplatin-methotrexate-and-vinblastine-cmv-therapy.json","nccp-00337-v5","Cisplatin, Methotrexate and Vinblastine (CMV) Therapy",4,0,2,0,1,3,10
"protocols/genitourinary/00338-methotrexate-vinblastine-doxorubicin-and-cisplatin-mvac-28-day.json","nccp-00338-v5","Methotrexate, Vinblastine, Doxorubicin and Cisplatin (MVAC) – 28 day",4,0,2,0,1,3,10
"protocols/genitourinary/00450-mitomycin-and-5-fluorouracil-with-radiotherapy.json","nccp-00450-v4c","Mitomycin and 5-Fluorouracil with Radiotherapy",4,0,2,0,1,2,9
"protocols/genitourinary/00453-carboplatin-auc-7-and-etoposide-750-mg-m-therapy.json","nccp-00453-v3","Carboplatin AUC 7 and Etoposide 750 mg/m² Therapy",4,1,2,0,1,2,10
"protocols/genitourinary/00477-goserelin-10-8mg-q12weeks.json","nccp-00477-v3","Goserelin 10.8 mg Therapy – 12 weeks",0,0,0,1,0,0,1
"protocols/genitourinary/00478-goserelin-3-6mg-q28days.json","nccp-00478-v3","Goserelin 3.6 mg Therapy – 28 day",0,0,0,1,0,0,1
"protocols/genitourinary/00479-leuprorelin-22-5mg-q12weeks.json","nccp-00479-v3","Leuprorelin 22.5 mg Therapy – 12 weeks",0,0,0,1,0,0,1
"protocols/genitourinary/00480-triptorelin-11-25mg-q12weeks.json","nccp-00480-v3","Triptorelin 11.25 mg Therapy – 12 weeks",0,0,0,1,0,0,1
"protocols/genitourinary/00481-degarelix.json","nccp-00481-v3","Degarelix Therapy",0,0,0,1,0,0,1
"protocols/genitourinary/00482-bicalutamide.json","nccp-00482-v3","Bicalutamide Therapy",0,0,0,0,0,0,0
"protocols/genitourinary/00488-triptorelin-22-5mg-q24weeks.json","nccp-00488-v3","Triptorelin 22.5 mg Therapy – 24 weeks",0,0,0,1,0,0,1
"protocols/genitourinary/00489-triptorelin-3mg-q28days.json","nccp-00489-v3","Triptorelin 3 mg Therapy – 28 day",0,0,0,1,0,0,1
"protocols/genitourinary/00490-leuprorelin-7-5mg-q28days.json","nccp-00490-v3","Leuprorelin 7.5 mg Therapy – 28 day",0,0,0,1,0,0,1
"protocols/genitourinary/00491-leuprorelin-45mg-q24weeks.json","nccp-00491-v3","Leuprorelin 45 mg Therapy – 24 weeks",0,0,0,1,0,0,1
"protocols/genitourinary/00492-leuprorelin-11-25mg-q12weeks.json","nccp-00492-v3","Leuprorelin 11.25 mg Therapy – 12 weeks",0,0,0,1,0,0,1
"protocols/genitourinary/00493-leuprorelin-30mg-q24weeks.json","nccp-00493-v3","Leuprorelin 30 mg Therapy – 24 weeks",0,0,0,1,0,0,1
