protocol_id,nccp_code,version,title,tumour_group,schedule_available,structured_treatment_phases,structured_treatment_object,phase_count,component_count,selectable_dose_level_groups,modification_pathways,source_url,clinical_validation_authorised
nccp-00446-v7b,00446,7b,Bevacizumab + mFOLFOX6,Gastrointestinal,true,true,false,1,5,4,37,https://healthservice.hse.ie/documents/6478/446_v7b_Bevacizumab_5_plus_mFOLFOX-6.pdf,false
nccp-00447-v6b,00447,6b,Panitumumab + mFOLFOX6,Gastrointestinal,true,true,false,1,5,4,34,https://healthservice.hse.ie/documents/6479/447_v6b_Panitumumab_plus_mFOLFOX-6.pdf,false
nccp-00448-v4b,00448,4b,Panitumumab + FOLFIRI,Gastrointestinal,true,true,false,1,5,3,35,https://healthservice.hse.ie/documents/6480/448_v4b_Panitumumab_plus_FOLFIRI.pdf,false
nccp-00449-v6a,00449,6a,Bevacizumab + FOLFIRI,Gastrointestinal,true,true,false,1,5,3,38,https://healthservice.hse.ie/documents/6481/449_v6a_Bevacizumab5_FOLFIRI.pdf,false
nccp-00451-v4c,00451,4c,"5-Fluorouracil (4 day), Mitomycin and Radiotherapy",Gastrointestinal,true,false,true,1,3,0,12,https://healthservice.hse.ie/documents/6483/451_v4c_Mitomycin_and_5-FU_4day__RT.pdf,false
nccp-00460-v4,00460,4,Cisplatin 75 mg/m² and 5-Fluorouracil Chemoradiation (Herskovic),Gastrointestinal,true,false,true,1,3,0,16,https://healthservice.hse.ie/documents/6488/460_v4_Herskovic_Regimen.pdf,false
nccp-00473-v6,00473,6,Cisplatin and Capecitabine Adjuvant Chemoradiation Therapy,Gastrointestinal,true,false,true,1,3,0,17,https://healthservice.hse.ie/documents/6492/473_v6_Cisplatin_Capecitabine_Chemoradiation_Therapy.pdf,false
nccp-00486-v8,00486,8,FLOX Therapy,Gastrointestinal,true,false,true,1,3,0,15,https://healthservice.hse.ie/documents/6501/486_v8_FLOX.pdf,false
nccp-00502-v4,00502,4,"Trastuzumab, 5-Fluorouracil and Cisplatin Therapy – 21 day",Gastrointestinal,true,false,true,1,3,0,18,https://healthservice.hse.ie/documents/6508/502_v4_Trastuzumab_CISplatin_and_5-Fluorouracil.pdf,false
nccp-00505-v5,00505,5,Capecitabine and Temozolomide Therapy,Gastrointestinal,true,false,true,1,2,0,13,https://healthservice.hse.ie/documents/6509/505_v5_Capecitabine_and_temozolomide_.pdf,false
nccp-00509-v6,00509,6,Modified FOLFOX-6 Chemoradiation Therapy – 14 day,Gastrointestinal,true,false,true,1,4,0,15,https://healthservice.hse.ie/documents/6513/509_v6_FOLFOX_6_Modified_Chemoradiation_Therapy.pdf,false
nccp-00515-v7,00515,7,Modified FOLFIRINOX,Gastrointestinal,true,true,false,1,4,3,41,https://healthservice.hse.ie/documents/6516/515_v7_FOLFIRINOX_modified.pdf,false
nccp-00521-v3,00521,3,Gemcitabine 1000 mg/m² and Radiotherapy,Gastrointestinal,true,false,true,1,2,0,9,https://healthservice.hse.ie/documents/6518/521_Gemcitabine_1000_and_RT_lz7Y1pW.pdf,false
nccp-00522-v4,00522,4,Gemcitabine 400 mg/m² and Radiotherapy,Gastrointestinal,true,false,true,1,2,0,9,https://healthservice.hse.ie/documents/6519/522_v4_Gemcitabine_400_and_RT.pdf,false
nccp-00523-v5,00523,5,Capecitabine and Radiotherapy – 7 day,Gastrointestinal,true,false,true,1,2,0,13,https://healthservice.hse.ie/documents/6520/523_v5_Capecitabine_and_RT.pdf,false
nccp-00524-v5,00524,5,Gemcitabine 1000 mg/m² and Capecitabine 830 mg/m² – 28 day,Gastrointestinal,true,false,true,1,2,0,15,https://healthservice.hse.ie/documents/6521/524_v5_Gemcitabine_and_capecitabine-28_day.pdf,false
nccp-00555-v6b,00555,6b,FOLFOXIRI,Gastrointestinal,true,true,false,1,4,3,13,https://healthservice.hse.ie/documents/6386/555_v6b_FOLFOXIRI_therapy.pdf,false
nccp-00559-v3,00559,3,Gemcitabine 600 mg/m² and Radiotherapy,Gastrointestinal,true,false,true,1,2,0,9,https://healthservice.hse.ie/documents/6390/559_v3_Gemcitabine_600_and_RT.pdf,false
nccp-00585-v5b,00585,5b,Cetuximab (14 day) and FOLFIRI (14 day) Therapy,Gastrointestinal,true,false,true,1,4,0,18,https://healthservice.hse.ie/documents/6395/585_v5b_Cetuximab_14_days_FOLFIRI.pdf,false
nccp-00586-v3,00586,3,Capecitabine 825 mg/m² and Radiotherapy – 7 day,Gastrointestinal,true,false,true,1,2,0,13,https://healthservice.hse.ie/documents/6396/586_v3_Capecitabine_825_and_RT.pdf,false
nccp-00594-v3b,00594,3b,"Cisplatin, 5-Fluorouracil and Radiation Therapy",Gastrointestinal,true,false,true,1,3,0,16,https://healthservice.hse.ie/documents/6400/594_v3b_CISplatin_5-Fluorouracil_Chemoradiation_Therapy.pdf,false
nccp-00623-v3a,00623,3a,Bevacizumab 7.5 mg/kg and Capecitabine 1250 mg/m² Therapy,Gastrointestinal,true,false,true,1,2,0,18,https://healthservice.hse.ie/documents/6686/623_v3a_Bevacizumab_Capecitabine.pdf,false
nccp-00644-v2,00644,2,Lenvatinib Therapy – HCC,Gastrointestinal,true,false,true,1,1,0,11,https://healthservice.hse.ie/documents/6682/644_v2_Lenvatinib-HCC_Therapy.pdf,false
nccp-00654-v2,00654,2,Irinotecan 150 mg/m² Monotherapy – 28 day,Gastrointestinal,true,false,true,1,1,0,10,https://healthservice.hse.ie/documents/6681/654_v2_Irinotecan_150mg.m2_monotherapy-28day.pdf,false
nccp-00660-v2b,00660,2b,5-FU + Folinic Acid,Gastrointestinal,true,true,false,1,3,2,14,https://healthservice.hse.ie/documents/6679/660_v2b_5FU_Folinic_acid.pdf,false
nccp-00691-v4,00691,4,FOLFIRINOX Therapy – Rectal Carcinoma,Gastrointestinal,true,false,true,1,4,0,18,https://healthservice.hse.ie/documents/6531/691_v4_Folfirinox_Rectal_carcinoma.pdf,false
